Date,Open,High,Low,Close,Change,%Change,Volume,Company,Average Price,Market Cap,Turnover Rate,FB,Trading Value,MA5,Volatility
2021-10-15,56464.75,56464.75,54896.29,55070.56,0.0,0.0,2200.0,BHN,55477.200000000004,121155232.0,100.0,11.110898588424115,121155232.0,55070.56,2.777768430746615
2021-10-18,56464.75,56464.75,54896.29,54896.29,-174.2699999999968,-0.3164485707063752,2700.0,BHN,55419.11000000001,148219983.0,100.0,0.0,148219983.0,54983.425,2.777768430746615
2021-10-19,54896.29,54983.43,54896.29,54983.43,87.13999999999942,0.1587356814094348,2700.0,BHN,54954.38333333333,148455261.0,100.0,5.555768078242319,148455261.0,54983.426666666666,0.1587356814094348
2021-10-20,56029.07,56029.07,54896.29,54896.29,-87.13999999999942,-0.15848411057658537,4800.0,BHN,55273.88333333333,263502192.0,100.0,0.0,263502192.0,54961.6425,2.021771912330508
2021-10-21,54896.29,54896.29,54460.6,54722.01,-174.27999999999884,-0.3174713628188696,3400.0,BHN,54692.96666666667,186054834.0,70.83333333333334,13.04343487263944,186054834.0,54913.716,0.7936601908799343
2021-10-22,55767.66,55767.66,54896.29,54896.29,174.27999999999884,0.31848245340403036,300.0,BHN,55186.74666666667,16468887.0,6.25,21.739390764164458,16468887.0,54878.862,1.5625005603606152
2021-10-25,55767.66,55767.66,53676.37,54024.92,-871.3700000000026,-1.5873021655926158,3600.0,BHN,54489.65,194489712.0,75.0,14.814893526586308,194489712.0,54704.588,3.7500049311733727
2021-10-26,54024.92,54024.92,53414.96,54024.92,0.0,0.0,5700.0,BHN,53821.6,307942044.0,100.0,23.333371587270584,307942044.0,54512.886,1.1290345270293767
2021-10-27,54024.92,54460.6,53589.23,54460.6,435.6800000000003,0.806442656462981,5400.0,BHN,54170.14333333333,294087240.0,94.73684210526315,44.44425553619235,294087240.0,54425.748,1.6129038229024593
2021-10-28,54460.6,54896.29,54024.92,54896.29,435.6900000000023,0.800009548187134,5500.0,BHN,54605.833333333336,301929595.0,96.49122807017544,62.962978705317255,301929595.0,54460.60399999999,1.6000007344759377
2021-10-29,54896.29,54896.29,54024.92,54024.92,-871.3700000000026,-1.5873021655926158,4000.0,BHN,54315.37666666667,216099680.0,70.17543859649122,25.925957410634503,216099680.0,54286.33,1.5873021655926158
2021-11-01,55680.52,55680.52,54024.92,54547.74,522.8199999999997,0.9677385917461789,5800.0,BHN,54751.06,316376892.0,100.0,50.0,316376892.0,54390.89399999999,2.9733917714848905
2021-11-02,53676.37,54547.74,53676.37,54024.92,-522.8199999999997,-0.9584631737263536,9100.0,BHN,54083.01,491626772.0,100.0,20.833552496305934,491626772.0,54390.89399999999,1.6233772887398967
2021-11-03,54024.92,54896.29,53589.23,54896.29,871.3700000000026,1.6129038229024728,3400.0,BHN,54460.60333333333,186647386.0,37.362637362637365,62.50017931515962,186647386.0,54478.03199999999,2.4193649893419513
2021-11-04,54896.29,54896.29,53676.37,53676.37,-1219.9199999999983,-2.222226675063102,4500.0,BHN,54083.01,241543665.0,49.45054945054945,4.166806134012963,241543665.0,54234.047999999995,2.222226675063102
2021-11-05,53676.37,53676.37,53502.1,53676.37,0.0,0.0,17000.0,BHN,53618.28,912498290.0,100.0,7.999834742611811,912498290.0,54164.338,0.3246680056792292
2021-11-08,55767.66,55767.66,53763.51,54983.43,1307.0599999999977,2.4350752481958033,3300.0,BHN,54838.200000000004,181445319.0,19.411764705882355,65.38471724430156,181445319.0,54251.476,3.593749495675453
2021-11-09,55680.52,55680.52,54112.06,54896.29,-87.13999999999942,-0.15848411057658537,2300.0,BHN,54896.29,126261467.0,13.529411764705882,61.53842758523276,126261467.0,54425.75,2.8168917962691427
2021-11-10,54024.92,54896.29,54024.92,54809.15,-87.13999999999942,-0.1587356814094348,2800.0,BHN,54576.78666666666,153465620.0,16.470588235294116,57.69213792616396,153465620.0,54408.322,1.6129038229024728
